"V1";"V2";"V3";"V4";"V5";"V6";"V7"
"1";"Grenivka";"28";"91,0";"0,0";"0";"0,0";"7"
"2";"Limona";"12";"91,0";"0,0";"0";"0,0";"3"
"3";"Mandarina";"34";"87,0";"0,9";"0";"0,0";"8"
"4";"Pomaranca";"35";"86,0";"0,9";"0";"0,0";"5,8"
"5";"Borovnice";"56";"85,0";"0,6";"0,6";"0,0";"14,3"
"6";"Grozdje, belo";"60";"79,0";"0,6";"0";"0,0";"15,3"
"7";"Grozdje, crno";"54";"84,0";"0,5";"0,1";"0,0";"13,5"
"8";"Jagode";"26";"89,0";"0,6";"0";"0,0";"6,2"
"9";"Maline";"25";"83,0";"0,9";"0";"0,0";"5,6"
"10";"Ribez, beli";"26";"83,0";"1,3";"0";"0,0";"5,6"
"11";"Ribez, crni";"28";"77,0";"0,9";"0";"0,0";"6,6"
"12";"Ribez, rdeci";"21";"83,0";"1,1";"0";"0,0";"4,4"
"13";"Robide";"29";"82,0";"1,3";"0";"0,0";"6,4"
"14";"Hruška, cela";"29";"60,0";"0,2";"0";"0,0";"7,6"
"15";"Jabolko, celo";"40";"87,0";"0,0";"0";"0,0";"10"
"16";"Breskev";"37";"86,0";"0,6";"0";"0,0";"9,1"
"17";"Marelica";"28";"86,0";"0,6";"0";"0,0";"6,7"
"18";"Nektarina";"50";"80,0";"0,9";"0";"0,0";"12,4"
"19";"Cešnje";"48";"86,0";"0,8";"0,1";"0,0";"11,7"
"20";"Višnje";"41";"84,0";"0,8";"0";"0,0";"10,2"
"21";"Slive";"38";"84,0";"0,6";"0";"0,0";"9,6"
"22";"Ananas";"46";"84,0";"0,5";"0";"0,0";"11,6"
"23";"Avokado";"126";"81,0";"2,0";"10";"0,0";"7"
"24";"Banane";"79";"71,0";"1,1";"0,3";"0,0";"19,2"
"25";"Kivi";"40";"83,0";"1,0";"0";"0,0";"9"
"26";"Dinja";"24";"94,0";"1,0";"0";"0,0";"5,3"
"27";"Fige, sveže";"41";"85,0";"1,3";"0";"0,0";"9,5"
"28";"Lubenica";"21";"94,0";"0,4";"0";"0,0";"5,3"
"29";"Datelj";"248";"15,0";"2,0";"0";"0,0";"63,9"
"30";"Rozine";"246";"21,0";"1,1";"0";"0,0";"64,4"
"31";"Fige";"213";"17,0";"3,6";"0";"0,0";"52,9"
"32";"Šipek, mleti";"170";"10,0";"4,5";"1,5";"0,0";"79,2"
"33";"Arašidi, praženi";"570";"4,0";"24,3";"49";"0,0";"8,6"
"34";"Arašidi, surovi";"570";"4,0";"24,3";"49";"0,0";"8,6"
"35";"Lešnik, suhi";"701";"6,0";"14,0";"69";"0,0";"6"
"36";"Mandelj, suhi";"565";"5,0";"16,9";"53,5";"0,0";"4,3"
"37";"Orehi, suhi";"648";"5,0";"15,8";"61,4";"0,0";"8,8"
"38";"Kokosov oreh";"346";"42,0";"3,2";"36";"0,0";"3,7"
